food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Magnesium,Phosphorus,Potassium,Zinc,Nutrition Density,Types,food_encoded
fruit flavored water,52,0.0,0.0,0.0,0.0,13000.0,13000.0,0.0,0.0,0.0,0.0,223800.0,0.05,0.0,0.016,0.049,0.0,2.0,1.0,0.2,30.1,0.0,4.5,0.0,40.3,0.0,7.1,0.0,0.0,0.8,83.471,drink,99
water,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,237000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,0.0,4.7,0.0,0.0,0.0,23.7,drink,100
cola light coca cola,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,336500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drink,101
lemon lime soda,151,0.0,0.0,0.0,0.0,38400.0,37600.0,300.0,0.0,0.0,24.0,330200.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.061,3.7,0.0,3.7,0.065,46.113,drink,102
tonic water,114,0.0,0.0,0.0,0.0,29600.0,29600.0,0.0,0.0,0.0,49.0,306100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.09,0.0,0.0,0.0,0.3,33.038,drink,103
lemonade low calorie,7,0.0,0.0,0.0,0.0,1600.0,0.0,92.0,0.0,0.0,13.0,236800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,66.9,0.1,2.4,31.1,2.4,0.011,76.216,drink,104
ginger ale,68,0.0,0.0,0.0,0.0,17500.0,17400.0,0.0,0.0,0.0,43.0,182500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.4,0.087,0.0,0.078,17.528,drink,105
ice tea lemon flavor nestle,88,0.0,0.0,0.0,0.0,22300.0,22300.0,0.0,0.0,0.0,63.0,223400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,2.5,88.2,46.6,0.1,29.7,drink,106
sprite coca cola,80,63.0,0.0,0.0,0.0,20300.0,18000.0,100.0,0.0,0.0,21.0,179600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.2,0.017,0.0,0.0,20.538,drink,107
cola coca cola,151,0.0,0.0,0.0,0.0,38900.0,38900.0,0.0,0.0,0.0,45.0,329800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.048,0.0,40.5,11.0,0.052,46.4,drink,108
cola,74,70.0,0.0,0.0,0.0,19100.0,17900.0,100.0,0.0,0.0,72.0,180600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.2,0.081,20.0,0.038,19.336,drink,109
cream soda,252,0.0,0.0,0.0,0.0,65700.0,65700.0,0.0,0.0,0.0,98.0,428300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,0.2,4.9,0.0,4.9,0.3,90.6,drink,110
club soda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,199800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.078,0.052,0.0,0.0,0.025,drink,111
pink lemonade,86,300.0,79.0,30.0,34.0,21600.0,20600.0,100.0,200.0,0.0,10.0,177800.0,0.0,0.003,0.078,0.0,0.0,0.047,0.035,0.061,6.2,0.0,0.062,0.0,8.0,0.092,4.0,4.0,34.0,0.093,36.488,drink,112
grape soda,160,0.0,0.0,0.0,0.0,41700.0,0.0,0.0,0.0,0.0,42.0,330300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0.3,3.7,0.0,3.7,0.3,53.2,drink,113
cola without caffeine coca cola,151,0.0,0.0,0.0,0.0,38900.0,38900.0,0.0,0.0,0.0,40.0,329800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.026,0.0,40.5,11.0,0.032,46.381,drink,114
white lemonade,80,3.0,93.0,24.0,76.0,20800.0,20000.0,100.0,0.0,0.0,20.0,178700.0,0.0,0.0,0.004,0.043,0.0,0.02,0.094,0.094,0.007,7.8,0.0,0.04,0.0,0.013,0.3,0.083,4.0,0.066,21.02,drink,115
